Parent	Child	PanMAN_Diff	MAFFT_Diff	Expected_Mismatch_Count_After_Correction	Mismatch_Count_In_MA_Blocks	Mismatch_Count_In_Corrected_Blocks	All_Mismatch_Count
node_2553	node_2555	993	929	 993	 0	 0	 993
node_2558	node_2559	375	370	 375	 0	 0	 375
node_2553	node_2554	10	10	 10	 0	 0	 10
node_2556	D.CD.1985.Z2Z6_Z2_CDC_Z34.M22639	2462	1524	 883	 1620	 41	 2462
node_2552	D.KE.2013.20920v0A_04.OM825097	1856	293	 293	 1564	 1	 1856
node_2548	node_2557	358	352	 358	 0	 0	 358
node_2546	D.KE.2013.20920v0A_05.OM825098	818	136	 136	 682	 0	 818
node_2561	D.BR.2010.10BR_RJ108.KJ787683	1878	1527	 1591	 311	 24	 1878
node_2554	D.KE.2013.20920v0A_02.OM825095	1102	295	 295	 808	 1	 1102
node_2558	node_2560	378	367	 378	 0	 0	 378
node_2561	D.BR.2010.DEMD10BR034.KU749394	1089	1050	 1089	 0	 0	 1089
node_2557	node_2558	104	98	 104	 0	 0	 104
node_2559	D.CD.1983.ELI.K03454	2350	1196	 1196	 1174	 20	 2350
node_2559	D.CD.1983.NDK.M27323	1765	1157	 1203	 586	 24	 1765
node_2556	D.ZA.1990.R1.EF633445	1716	748	 754	 994	 32	 1716
node_2555	D.GB.2014.14535_1_3.3.MF109532	1630	621	 623	 1057	 50	 1630
node_2567	node_2568	412	391	 412	 0	 0	 412
node_2560	D.BR.2010.10BR_RJ095.KJ787684	1815	915	 1234	 588	 7	 1815
node_2564	node_2565	249	250	 249	 0	 0	 249
node_2568	node_2570	428	70	 67	 366	 5	 428
node_2560	node_2561	593	328	 327	 272	 6	 593
node_2567	node_2572	546	546	 546	 0	 0	 546
node_2547	node_2566	174	173	 174	 0	 0	 174
node_2565	CD.TZ.2006.CO3016V6.KX907359	1433	1144	 1179	 272	 18	 1433
node_2557	node_2562	111	110	 111	 0	 0	 111
node_2562	node_2564	52	49	 52	 0	 0	 52
node_2565	D.ZA.1984.R2.AY773338	1103	694	 692	 422	 11	 1103
node_2573	41_CD.TZ.2003.CO6952V1.KX907430	1273	1257	 1273	 0	 0	 1273
node_2568	node_2569	552	312	 333	 220	 1	 552
node_2564	D.ZA.1986.R482.AY773341	2001	905	 986	 1043	 28	 2001
node_2570	21_A2D.KE.1999.KSM4001.AF457072	1239	893	 1239	 0	 0	 1239
node_2573	D.CM.2001.01CM_0009BBY.AY371155	1762	663	 678	 1161	 77	 1762
node_2569	21_A2D.KE.1999.KER2003.AF457051	1491	690	 695	 814	 18	 1491
node_2570	node_2571	1383	671	 691	 726	 34	 1383
node_2569	21_A2D.KE.1991.KNH1254.AY945737	1139	757	 824	 334	 19	 1139
node_2572	node_2573	85	81	 85	 0	 0	 85
node_2574	node_2575	98	99	 98	 0	 0	 98
node_2566	node_2567	499	237	 234	 272	 7	 499
node_2563	D.ZA.1985.R286.AY773340	1199	957	 985	 220	 6	 1199
node_2571	41_CD.TZ.2003.CO6650V1.KX907417	976	486	 485	 492	 1	 976
node_2566	node_2576	268	257	 268	 0	 0	 268
node_2575	D.CM.2001.01CM_4412HAL.AY371157	950	362	 413	 575	 38	 950
node_2577	node_2578	98	98	 98	 0	 0	 98
node_2582	D.CM.2010.DEMD10CM018.KP109501	962	563	 609	 366	 13	 962
node_2571	41_CD.TZ.2005.CO6577V5.KX907411	823	492	 493	 334	 4	 823
node_2563	D.ZA.1985.R214.AY773339	1380	1020	 1079	 314	 13	 1380
node_2572	node_2574	374	367	 374	 0	 0	 374
node_2578	D.YE.2002.02YE516.AY795907	2084	583	 591	 1533	 40	 2084
node_2575	D.TD.1999.MN012.AJ519489	830	831	 830	 0	 0	 830
node_2562	node_2563	553	189	 190	 367	 4	 553
node_2581	node_2582	303	33	 35	 272	 4	 303
node_2578	D.TD.1999.MN012.AJ488927	1143	561	 572	 586	 15	 1143
node_2576	node_2581	403	380	 403	 0	 0	 403
node_2579	D.TD.1999.MN011.AJ519488	513	513	 513	 0	 0	 513
node_2574	D.CM.2001.01CM_0175BA.AY371156	524	197	 198	 334	 8	 524
node_2580	D.TD.1999.MN011.AJ488926	1867	557	 895	 998	 26	 1867
node_2577	node_2579	452	419	 452	 0	 0	 452
node_2582	D.CM.2008.08CMBDSH25.MN153488	1639	812	 840	 845	 46	 1639
node_2579	node_2580	54	46	 54	 0	 0	 54
node_2581	node_2583	604	29	 29	 578	 3	 604
node_2583	node_2584	454	443	 454	 0	 0	 454
node_2583	D.CM.2010.DEMD10CM009.JX140670	1135	598	 919	 220	 4	 1135
node_2589	node_2591	57	57	 57	 0	 0	 57
node_2588	node_2589	439	22	 75	 366	 2	 439
node_2584	22DU.CM.2001.01CM_4008HAN.AY371168	1591	868	 903	 734	 46	 1591
node_2576	node_2577	846	127	 129	 726	 9	 846
node_2580	D.CY.2006.CY163.FJ388945	2181	1377	 1764	 430	 13	 2181
node_2584	D.CD.2003.LA17MuBo.KU168271	2617	1778	 1788	 850	 21	 2617
node_2586	node_2587	802	75	 75	 734	 7	 802
node_2587	node_2588	643	558	 643	 0	 0	 643
node_2590	DO.FR.2013.RBF235.MN337382	2674	2024	 2266	 422	 14	 2674
node_2590	DG.CM.2006.876-14.KP718916	1931	1240	 1255	 700	 24	 1931
node_2591	D.KR.2001.01KBH7.MW881609	1148	342	 342	 808	 2	 1148
node_2585	node_2586	347	342	 347	 0	 0	 347
node_2588	node_2592	24	24	 24	 0	 0	 24
node_2591	D.KR.2003.03KBH1a.MW405342	781	362	 362	 422	 3	 781
node_2589	node_2590	879	518	 517	 368	 6	 879
node_2592	node_2593	54	54	 54	 0	 0	 54
node_2507	node_2585	473	233	 473	 0	 0	 473
node_2593	D.KR.2001.01KBH3.MW405341	1724	478	 478	 1252	 6	 1724
node_2595	D.KR.1994.94KBH10.MW881610	807	396	 445	 366	 4	 807
node_2593	DJ.KR.2004.04KBH8.DQ054367	1999	1315	 1315	 694	 10	 1999
node_2592	node_2594	742	110	 157	 588	 3	 742
node_2587	node_2596	366	140	 148	 220	 2	 366
node_2596	node_2597	1156	103	 97	 1068	 9	 1156
node_2594	node_2595	251	31	 31	 220	 0	 251
node_2595	D.KR.1995.95KBH4b.MW405340	1352	352	 352	 1010	 10	 1352
node_2594	D.KR.1995.95KBH4a.MW405339	457	457	 457	 0	 0	 457
node_2599	D.UG.1986.002396.OP039465	896	520	 538	 366	 8	 896
node_2600	D.UG.1995.42-877.MH705143	2247	1552	 1606	 666	 25	 2247
node_2599	node_2600	306	93	 89	 220	 3	 306
node_2597	node_2598	296	286	 296	 0	 0	 296
node_2598	D.UG.1998.98UG57130.AF484504	888	315	 315	 578	 5	 888
node_2600	D.UG.1998.98UG57143.AF484514	2157	668	 702	 1525	 70	 2157
node_2601	node_2602	1145	797	 793	 366	 14	 1145
node_2597	node_2599	97	95	 97	 0	 0	 97
node_2602	D.UG.2007.p191882.JX236673	801	801	 801	 0	 0	 801
node_2602	D.UG.2007.DEMD07UG007.KF716503	837	3	 3	 834	 0	 837
node_2596	node_2601	816	229	 232	 588	 4	 816
node_2598	D.UG.1992.92UG001.AJ320484	3690	1227	 1228	 2467	 5	 3690
node_2603	D.SN.1990.SE365.AB485649	1244	936	 936	 312	 4	 1244
node_2605	node_2606	119	122	 119	 0	 0	 119
node_2601	node_2603	551	497	 551	 0	 0	 551
node_2586	node_2605	377	110	 107	 272	 2	 377
node_2609	node_2610	278	74	 70	 210	 2	 278
node_2603	node_2604	1621	242	 242	 1400	 21	 1621
node_2604	D.CD.1987.PBS5635.MH705152	3051	1359	 1491	 1618	 58	 3051
node_2607	node_2608	465	467	 465	 0	 0	 465
node_2610	D.UG.1986.2083.OP039412	1277	646	 645	 638	 6	 1277
node_2608	D.UG.1986.002371.OP039452	691	336	 330	 366	 5	 691
node_2608	A1D.UG.1986.002383.OP039457	1220	780	 799	 432	 11	 1220
node_2607	node_2609	167	167	 167	 0	 0	 167
node_2606	node_2607	362	98	 92	 272	 2	 362
node_2609	D.UG.1986.2082.OP039411	825	618	 611	 218	 4	 825
node_2604	D.SN.1990.SE365.AB485648	1409	1196	 1196	 220	 7	 1409
node_2610	D.UG.1986.002368.OP039449	708	702	 708	 0	 0	 708
node_2614	D.TZ.2001.A280.AY253311	909	582	 586	 334	 11	 909
node_2613	node_2614	1117	48	 48	 1078	 9	 1117
node_2613	D.UG.1986.002369.OP039450	991	486	 487	 523	 19	 991
node_2612	D.UG.1986.002389.OP039460	1665	467	 453	 1238	 26	 1665
node_2615	node_2616	59	59	 59	 0	 0	 59
node_2611	node_2612	425	68	 60	 366	 1	 425
node_2612	02D.UG.1986.002397.OP039466	1272	535	 539	 762	 29	 1272
node_2606	node_2611	68	71	 68	 0	 0	 68
node_2611	node_2613	42	43	 42	 0	 0	 42
node_2605	node_2615	396	390	 396	 0	 0	 396
node_2620	node_2621	301	26	 34	 272	 5	 301
node_2630	node_2631	9	10	 9	 0	 0	 9
node_2616	node_2618	112	113	 112	 0	 0	 112
node_2631	129_56G.CY.2018.CY526.ON989283	400	395	 400	 0	 0	 400
node_2614	D.UG.1986.2036.OP039385	476	467	 476	 0	 0	 476
node_2631	129_56G.CY.2018.CY512.OP781327	1082	483	 485	 604	 7	 1082
node_2628	129_56G.CY.2018.CY525.ON989282	1099	419	 422	 720	 43	 1099
node_2617	A1D.UG.2006.270015.MW006077	2034	1824	 1827	 218	 11	 2034
node_2626	node_2627	34	33	 34	 0	 0	 34
node_2628	02BG.CY.2007.CY200.JF683752	1592	911	 969	 632	 9	 1592
node_2625	node_2626	1642	1354	 1372	 272	 2	 1642
node_2621	56_cpx.FR.2010.URF5_patient_A.JN882655	1535	940	 940	 596	 1	 1535
node_2624	node_2625	325	327	 325	 0	 0	 325
node_2630	node_2632	315	315	 315	 0	 0	 315
node_2621	56_cpx.FR.2010.patient_B.KC852172	566	358	 358	 210	 2	 566
node_2629	129_56G.CY.2018.CY537.ON989289	355	344	 355	 0	 0	 355
node_2627	node_2628	73	69	 73	 0	 0	 73
node_2629	129_56G.CY.2018.CY529.ON989285	1401	336	 333	 1070	 2	 1401
node_2616	node_2617	183	197	 183	 0	 0	 183
node_2618	D.SE.2012.077UG.MF373180	1182	963	 980	 210	 8	 1182
node_2622	node_2623	892	518	 526	 368	 2	 892
node_2623	56_cpx.SI.2012.Sample37_SI324.MN736702	1487	805	 821	 694	 28	 1487
node_2620	node_2622	20	20	 20	 0	 0	 20
node_2640	02B.BE.2016.BK.MN486007	1714	430	 431	 1307	 24	 1714
node_2622	56_cpx.FR.2010.patient_C.KC852174	1205	560	 566	 659	 20	 1205
node_2634	node_2635	664	300	 301	 368	 5	 664
node_2585	node_2624	936	688	 936	 0	 0	 936
node_2632	129_56G.CY.2017.CY448.ON989239	113	112	 113	 0	 0	 113
node_2626	node_2630	27	28	 27	 0	 0	 27
node_2627	node_2629	52	52	 52	 0	 0	 52
node_2619	D.CD.2002.LA18ZiAn.KU168272	2621	2038	 2069	 588	 36	 2621
node_2615	node_2620	1302	952	 1093	 220	 11	 1302
node_2633	129_56G.CY.2019.CY625.ON989341	1224	231	 221	 1056	 53	 1224
node_2633	56_cpx.CY.2017.CY488.ON989265	733	667	 733	 0	 0	 733
node_2640	02B.BE.2016.BJ.MN486006	1306	587	 580	 740	 14	 1306
node_2641	20_BG.US.2018.5108_wk-2_4_C9.MW062984	961	597	 597	 364	 0	 961
node_2617	A1D.UG.2013.H006032.MN695006	1627	763	 775	 890	 38	 1627
node_2632	node_2633	129	132	 129	 0	 0	 129
node_2625	node_2634	620	269	 269	 363	 12	 620
node_2635	node_2637	621	357	 357	 272	 8	 621
node_2638	02B.BE.2016.AV.MN485992	2692	896	 1839	 890	 37	 2692
node_2636	G.RU.2012.RU_SRD_2012.MF614606	1431	1018	 1045	 422	 36	 1431
node_2618	node_2619	1233	253	 613	 640	 20	 1233
node_2623	U.CN.2018.08-004.MW693027	1225	897	 899	 347	 21	 1225
node_2635	node_2636	628	190	 329	 312	 13	 628
node_2637	node_2638	870	522	 530	 367	 27	 870
node_2641	node_2642	691	471	 471	 220	 0	 691
node_2639	node_2640	1155	836	 837	 332	 14	 1155
node_2637	G.RU.2014.RU_SRD_2014.MF614607	699	656	 699	 0	 0	 699
node_2619	56_cpx.FR.2011.patient_D.KC852173	1689	1445	 1487	 220	 18	 1689
node_2638	A1DG.ES.2009.DEURF09GQ001.KC473845	1241	756	 1039	 220	 18	 1241
node_2636	56_cpx.RU.2017.RU_ERS_2703_2017.MZ327290	2060	1287	 1319	 808	 67	 2060
node_2634	node_2639	1055	147	 146	 942	 33	 1055
node_2642	20_BG.US.2018.5108_wk-2_5_A21.MW062986	1034	446	 446	 588	 0	 1034
node_2639	node_2641	678	656	 678	 0	 0	 678
node_2624	node_2643	546	538	 546	 0	 0	 546
node_2642	20_BG.US.2018.5108_wk-2_3_J24.MW062982	1539	445	 445	 1094	 0	 1539
node_2643	node_2644	2	2	 2	 0	 0	 2
node_2644	node_2645	533	261	 261	 272	 0	 533
node_2645	node_2646	0	0	 0	 0	 0	 0
node_2646	20_BG.US.2019.5108-WK-2-PL8-M24.OM209434	1317	275	 275	 1042	 0	 1317
node_2645	node_2647	488	270	 270	 218	 0	 488
node_2646	20_BG.US.2018.5108_wk-2_2_D12.MW062978	283	283	 283	 0	 0	 283
node_2649	node_2650	0	0	 0	 0	 0	 0
node_2648	20_BG.US.2019.5108-WK-2-PL10-G20.OM209432	1472	2	 2	 1472	 2	 1472
node_2651	node_2652	211	1	 1	 210	 0	 211
node_2647	node_2648	20	20	 20	 0	 0	 20
node_2643	node_2653	0	0	 0	 0	 0	 0
node_2657	20_BG.US.2018.5108_wk-2_5_B9.MW062988	1307	355	 355	 952	 0	 1307
node_2647	20_BG.US.2019.5108-WK-2-PL6-O17.OM209433	387	21	 21	 366	 0	 387
node_2652	20_BG.US.2018.5108_wk-2_3_D12.MW062980	1367	559	 559	 808	 0	 1367
node_2649	node_2651	0	0	 0	 0	 0	 0
node_2644	node_2649	732	512	 512	 220	 0	 732
node_2653	node_2654	366	0	 0	 366	 0	 366
node_2648	20_BG.US.2018.5108_wk-2_5_J24.MW062990	0	0	 0	 0	 0	 0
node_2654	node_2655	696	108	 108	 588	 0	 696
node_2651	20_BG.US.2018.5108_wk-2_5_J15.MW062989	878	546	 546	 332	 0	 878
node_2650	20_BG.US.2018.5108_wk-2_4_I22.MW062985	746	526	 526	 220	 0	 746
node_2658	node_2659	110	106	 110	 0	 0	 110
node_2657	20_BG.US.2018.5108_wk-2_3_A20.MW062979	1069	371	 371	 698	 0	 1069
node_2653	node_2658	218	0	 0	 218	 0	 218
node_2652	20_BG.US.2018.5108_wk-2_1_N14.MW062975	1422	527	 527	 896	 1	 1422
node_2661	20_BG.US.2018.5108_wk-2_3_I20.MW062981	1638	480	 480	 1158	 0	 1638
node_2661	20_BG.US.2018.5108_wk-2_1_O16.MW062976	1049	469	 469	 580	 0	 1049
node_2650	20_BG.US.2018.5108_wk-2_5_B15.MW062987	1853	543	 543	 1310	 0	 1853
node_2655	20_BG.US.2018.5108_wk-2_1_D15.MW062974	1754	465	 465	 1308	 19	 1754
node_2662	node_2663	75	71	 75	 0	 0	 75
node_2655	20_BG.US.2018.5108_wk-2_5_M22.MW062991	667	449	 449	 218	 0	 667
node_2659	20_BG.US.2018.5108_wk-2_4_B24.MW062983	1850	438	 438	 1416	 4	 1850
node_2656	node_2657	682	682	 682	 0	 0	 682
node_2656	20_BG.US.2018.5108_wk-2_2_A10.MW062977	821	549	 549	 272	 0	 821
node_2660	node_2661	272	0	 0	 272	 0	 272
node_2658	node_2660	131	131	 131	 0	 0	 131
node_2665	node_2666	155	156	 155	 0	 0	 155
node_2659	20_BG.US.2019.5108-WK-2-PL9-D12.OM209435	703	431	 431	 272	 0	 703
node_2663	node_2664	450	371	 450	 0	 0	 450
node_2660	20_BG.US.2018.5108_wk-2_1_C2.MW062973	799	431	 431	 368	 0	 799
node_2673	24_BG.CU.2003.CB471.AY900575	856	468	 471	 421	 36	 856
node_2654	node_2656	364	0	 0	 364	 0	 364
node_2682	14_BG.CY.2017.CY394.ON989215	1394	1387	 1394	 0	 0	 1394
node_2670	node_2672	42	42	 42	 0	 0	 42
node_2679	node_2680	454	101	 93	 368	 7	 454
node_2672	23_BG.CU.2003.CB347.AY900572	478	471	 478	 0	 0	 478
node_2679	node_2681	260	248	 260	 0	 0	 260
node_2675	node_2676	339	10	 10	 332	 3	 339
node_2668	20_BG.CU.1999.Cu103.AY586545	808	806	 808	 0	 0	 808
node_2686	14F1.ES.2015.100_120.KY557336	1576	1303	 1322	 272	 18	 1576
node_2687	DF1G.ES.2004.X963-4.FJ670527	2068	1164	 1506	 597	 35	 2068
node_2682	152_DG.GB.2013.15228_1_62.3.MF109700	1426	1060	 1068	 368	 10	 1426
node_2676	24_BG.CU.2003.CB378.AY900574	1876	1092	 1104	 788	 16	 1876
node_2664	node_2683	77	77	 77	 0	 0	 77
node_2675	node_2677	330	63	 61	 272	 3	 330
node_2667	node_2669	98	96	 98	 0	 0	 98
node_2689	node_2690	165	165	 165	 0	 0	 165
node_2667	node_2668	58	51	 58	 0	 0	 58
node_2668	20_BG.ES.1999.R77.AY586544	950	947	 950	 0	 0	 950
node_2683	node_2684	389	364	 389	 0	 0	 389
node_2672	node_2673	210	210	 210	 0	 0	 210
node_2677	24_BG.ES.2008.DE02408ES002.KC473838	1434	649	 646	 790	 2	 1434
node_2680	BG.ES.2010.UNASS_0678073329727923.MK095229	1241	1030	 1029	 220	 8	 1241
node_2670	node_2671	74	71	 74	 0	 0	 74
node_2669	20_BG.CU.2003.CB134.DQ020274	1178	828	 827	 366	 15	 1178
node_2681	A1BG.SI.2016.Sample68_SI555.MN736708	1977	1075	 1080	 936	 39	 1977
node_2695	02B.GB.2014.13612_1_14.3.MF109397	1270	896	 914	 372	 16	 1270
node_2669	20_BG.ES.2014.ARP1210.KT276270	2022	1284	 1598	 430	 6	 2022
node_2666	node_2670	821	493	 491	 332	 2	 821
node_2665	node_2674	152	151	 152	 0	 0	 152
node_2674	node_2679	264	244	 264	 0	 0	 264
node_2681	node_2682	1281	727	 735	 584	 38	 1281
node_2671	23_BG.CU.2003.CB118.AY900571	2164	425	 425	 1756	 17	 2164
node_2683	node_2693	630	615	 630	 0	 0	 630
node_2666	node_2667	893	338	 405	 492	 4	 893
node_2694	node_2695	1484	1097	 1122	 368	 6	 1484
node_2678	BG.ES.2011.UNASS_0037629497702682.MK095228	1820	1361	 1465	 366	 11	 1820
node_2689	node_2691	292	292	 292	 0	 0	 292
node_2506	node_2662	83	64	 83	 0	 0	 83
node_2694	node_2696	762	434	 430	 332	 0	 762
node_2684	node_2685	286	287	 286	 0	 0	 286
node_2687	node_2688	997	790	 788	 220	 11	 997
node_2690	02_AG.BE.2019.DB.MT417738	2284	843	 872	 1450	 38	 2284
node_2685	node_2687	759	389	 392	 368	 1	 759
node_2673	24_BG.CU.2003.CB619.AY900576	2123	472	 477	 1664	 18	 2123
node_2674	node_2675	350	352	 350	 0	 0	 350
node_2680	BG.RU.2018.RU_ERS_2748_2018.MZ327292	1243	974	 991	 272	 20	 1243
node_2688	02B.CY.2017.CY473.ON989255	1129	1106	 1129	 0	 0	 1129
node_2692	02_AG.BE.2016.BC.MN485999	1095	555	 793	 312	 10	 1095
node_2691	02_AG.GB.2014.14592_1_53.3.MF109547	164	157	 164	 0	 0	 164
node_2695	02B.ES.1999.99SP_11339.DQ926899	1504	1525	 1504	 0	 0	 1504
node_2676	24_BG.ES.2008.Read33_HIV_CRF24_BG.KX228813	702	690	 702	 0	 0	 702
node_2678	24_BG.ES.2008.X2456-2.FJ670526	673	672	 673	 0	 0	 673
node_2692	02B.FR.2009.URF3.JN882651	1776	1011	 1567	 210	 1	 1776
node_2684	node_2689	960	692	 700	 272	 12	 960
node_2671	BG.CU.-.Cu100.AY586546	496	491	 496	 0	 0	 496
node_2688	02BD.FR.2008.URF1.JN882653	2104	868	 877	 1276	 49	 2104
node_2690	02_AG.GB.2014.13612_1_7.4.MF109432	1271	303	 314	 973	 16	 1271
node_2693	node_2694	6	6	 6	 0	 0	 6
node_2691	node_2692	213	224	 213	 0	 0	 213
node_2686	DG.CY.2005.CY063.FJ388908	1864	1437	 1467	 422	 25	 1864
node_2664	node_2665	1324	631	 760	 586	 22	 1324
node_2696	node_2697	24	24	 24	 0	 0	 24
node_2697	01_AE.TH.2007.AA030a05.JX447055	1871	67	 79	 1802	 10	 1871
node_2677	node_2678	329	115	 115	 220	 6	 329
node_2685	node_2686	567	224	 219	 366	 18	 567
node_2696	01_AE.TH.2007.AA030a03.JX447058	368	28	 28	 342	 2	 368
node_2697	01_AE.TH.2007.AA030a09.JX447061	1173	45	 45	 1130	 2	 1173
node_2693	node_2698	326	55	 55	 272	 1	 326
node_2699	01_AE.TH.2007.AA030a02.JX447060	555	332	 332	 227	 4	 555
node_2698	node_2700	271	271	 271	 0	 0	 271
node_2701	01_AE.TH.2007.AA030a04.JX447057	192	191	 192	 0	 0	 192
node_2663	node_2702	464	452	 464	 0	 0	 464
node_2698	node_2699	330	110	 110	 220	 0	 330
node_2705	node_2706	538	521	 538	 0	 0	 538
node_2704	node_2705	15	12	 15	 0	 0	 15
node_2700	node_2701	378	14	 13	 366	 1	 378
node_2699	01_AE.TH.2007.AA030a06.JX447056	998	359	 358	 640	 0	 998
node_2706	01_AE.TH.2007.AA030a01.JX447059	1436	930	 944	 509	 17	 1436
node_2700	01_AE.TH.2007.AA030a08.JX447054	392	166	 168	 224	 0	 392
node_2708	node_2709	14	14	 14	 0	 0	 14
node_2702	node_2703	64	56	 64	 0	 0	 64
node_2709	01_AE.TH.2013.Pt6_PreART_30.ON902196	1078	388	 388	 694	 4	 1078
node_2703	node_2704	468	196	 196	 272	 0	 468
node_2701	01_AE.TH.2007.AA030a12.JX447062	1935	190	 190	 1750	 5	 1935
node_2710	node_2711	456	124	 124	 332	 0	 456
node_2708	node_2710	514	20	 22	 492	 0	 514
node_2707	01_AE.TH.2013.Pt6_PreART_65.ON902170	747	745	 747	 0	 0	 747
node_2707	01_AE.TH.2013.Pt6_PreART_27.ON902198	2269	739	 739	 1536	 6	 2269
node_2710	01_AE.TH.2013.Pt6_PreART_56.ON902177	738	371	 371	 368	 1	 738
node_2705	node_2707	8	8	 8	 0	 0	 8
node_2709	01_AE.TH.2013.Pt6_PreART_16.ON902206	1118	391	 391	 734	 7	 1118
node_2704	node_2708	352	352	 352	 0	 0	 352
node_2706	01B.TH.2002.OUR847I.AY358069	1256	897	 901	 366	 11	 1256
node_2711	01_AE.TH.2013.Pt6_PreART_63.ON902172	691	296	 298	 394	 1	 691
node_2712	node_2713	163	163	 163	 0	 0	 163
node_2711	01_AE.TH.2013.Pt6_PreART_79.ON902157	1243	282	 282	 968	 7	 1243
node_2713	node_2714	3	3	 3	 0	 0	 3
node_2703	node_2712	475	112	 112	 366	 3	 475
node_2715	01_AE.TH.2013.Pt6_PreART_67.ON902168	695	273	 273	 422	 0	 695
node_2713	node_2715	373	10	 10	 366	 3	 373
node_2714	01_AE.TH.2013.Pt6_PreART_01.ON902218	619	287	 287	 332	 0	 619
node_2714	01_AE.TH.2013.Pt6_PreART_70.ON902165	2221	292	 292	 1934	 5	 2221
node_2716	01_AE.TH.2016.Pt6_onART_46.ON902231	799	222	 222	 578	 1	 799
node_2715	node_2716	235	16	 16	 220	 1	 235
node_2712	node_2717	316	6	 6	 310	 0	 316
node_2716	01_AE.TH.2013.Pt6_PreART_34.ON902192	1258	296	 296	 966	 4	 1258
node_2717	node_2718	10	10	 10	 0	 0	 10
node_2719	node_2720	588	11	 11	 578	 1	 588
node_2723	node_2725	171	171	 171	 0	 0	 171
node_2718	01_AE.TH.2013.Pt6_PreART_71.ON902164	2631	451	 453	 2184	 6	 2631
node_2720	01_AE.TH.2013.Pt6_PreART_03.ON902216	1120	450	 450	 676	 6	 1120
node_2702	node_2721	66	42	 66	 0	 0	 66
node_2725	node_2726	858	16	 16	 844	 2	 858
node_2721	node_2722	110	110	 110	 0	 0	 110
node_2724	01_AE.TH.2016.Pt6_onART_57.ON902224	540	540	 540	 0	 0	 540
node_2720	01_AE.TH.2013.Pt6_PreART_23.ON902201	876	452	 456	 422	 2	 876
node_2723	node_2724	319	10	 10	 310	 1	 319
node_2722	node_2727	359	18	 18	 342	 1	 359
node_2724	01_AE.TH.2013.Pt6_PreART_46.ON902184	1491	451	 452	 1044	 5	 1491
node_2718	01_AE.TH.2013.Pt6_PreART_68.ON902167	924	436	 436	 492	 4	 924
node_2717	node_2719	391	9	 9	 382	 0	 391
node_2725	01_AE.TH.2013.Pt6_PreART_10.ON902210	286	285	 286	 0	 0	 286
node_2726	01_AE.TH.2013.Pt6_PreART_58.ON902175	738	311	 311	 430	 3	 738
node_2722	node_2723	293	22	 22	 272	 1	 293
node_2719	01_AE.TH.2013.Pt6_PreART_41.ON902188	1379	450	 450	 930	 1	 1379
node_2729	01_AE.TH.2013.Pt6_PreART_73.ON902162	1019	431	 431	 588	 0	 1019
node_2732	node_2734	210	0	 0	 210	 0	 210
node_2726	01_AE.TH.2013.Pt6_PreART_04.ON902215	2098	282	 282	 1824	 8	 2098
node_2732	node_2733	1022	4	 4	 1020	 2	 1022
node_2738	node_2739	391	23	 23	 368	 0	 391
node_2744	node_2745	8	8	 8	 0	 0	 8
node_2730	01_AE.TH.2013.Pt6_PreART_39.ON902189	1405	484	 484	 924	 3	 1405
node_2736	node_2738	631	289	 289	 342	 0	 631
node_2737	01_AE.TH.2012.D_PreART_13.ON863171	1205	249	 249	 956	 0	 1205
node_2735	01_AE.TH.2012.D_PreART_26.ON863182	927	407	 407	 520	 0	 927
node_2745	01_AE.TH.2012.D_PreART_10.ON863169	1549	405	 405	 1144	 0	 1549
node_2742	node_2743	603	240	 238	 366	 1	 603
node_2743	node_2744	50	50	 50	 0	 0	 50
node_2734	node_2735	19	19	 19	 0	 0	 19
node_2729	node_2730	7	7	 7	 0	 0	 7
node_2745	01_AE.TH.2012.D_PreART_08.ON863167	781	405	 405	 376	 0	 781
node_2741	node_2742	499	414	 499	 0	 0	 499
node_2727	node_2728	2	2	 2	 0	 0	 2
node_2727	node_2729	6	6	 6	 0	 0	 6
node_2736	node_2737	156	156	 156	 0	 0	 156
node_2737	01_AE.TH.2012.D_PreART_37.ON863188	1147	251	 251	 896	 0	 1147
node_2662	node_2740	295	304	 295	 0	 0	 295
node_2735	01_AE.TH.2012.D_PreART_01.ON863161	1525	405	 405	 1120	 0	 1525
node_2731	node_2736	603	15	 15	 588	 0	 603
node_2748	01_AE.TH.2018.D_OnART_02.ON863133	1856	484	 484	 1379	 7	 1856
node_2733	01_AE.TH.2012.D_PreART_34.ON863186	885	407	 407	 478	 0	 885
node_2730	01_AE.TH.2016.Pt6_onART_14.ON902244	2464	539	 539	 1928	 3	 2464
node_2734	01_AE.TH.2012.D_PreART_22.ON863178	1049	413	 413	 638	 2	 1049
node_2746	01_AE.TH.2012.D_PreART_11.ON863170	1768	449	 449	 1320	 1	 1768
node_2728	01_AE.TH.2013.Pt6_PreART_59.ON902174	1383	461	 463	 924	 4	 1383
node_2721	node_2731	810	506	 510	 310	 10	 810
node_2739	01_AE.TH.2012.D_PreART_16.ON863173	1336	143	 144	 1194	 2	 1336
node_2744	node_2746	20	20	 20	 0	 0	 20
node_2747	node_2748	348	10	 10	 342	 4	 348
node_2738	01_AE.TH.2012.D_PreART_35.ON863187	1174	121	 121	 1054	 1	 1174
node_2733	01_AE.TH.2012.D_PreART_20.ON863176	995	407	 407	 588	 0	 995
node_2743	node_2747	388	117	 117	 272	 1	 388
node_2731	node_2732	4	4	 4	 0	 0	 4
